Sentences,Opinion Term,Aspect Category,Aspect Polarity ,opinion term,aspect  category,Aspect polarity,opinion term,aspect category ,Aspect polarity ,opinion term,aspect  category ,aspect polarity ,,,,,,
highly recommend great service I am glad for an excellent service,great,Company's service,Positive,,,,,,,,,,,,,,,
While services are good they are discriminating against their employees based on vaccination status on the app now and displaying temperature records on the website. Dissapointed in them for invading employees personal space.,good,Company's service,Positive,,,,,,,,,,,,,,,
"UC services are very good but the app should have few more features. If you can add preferred language and map accordingly will help people to enjoy service better. Also, if there's a promotion running it doesn't reflect in the final summary order in salon or spa services which makes it difficult to convey and convince the service provider.",good,Company's service,Positive,,,,,,,,,,,,,,,
Disappointed. The AC failed after a week since it's repair. Called the UC technitian again who charged exhirbitantly for replacing capacitor. Won't recommend UC to anyone.,disappointed,Company's service,Negative,,,,,,,,,,,,,,,
Professional sis not complete the service. I was told I will be contacted to reschedule the service but no body has called me. I have put in a request via help numerous times but absolutely no assistance received. They took the money for the booking as well as membership and did not provide any service. Utterly disappointed.,not complete ,Company's service,Negative,no assistance ,Customer support,Negative,,,,,,,,,,,,
Not reliable service partners,not reliable,Company's service,Negative,,,,,,,,,,,,,,,
Good and quick services.Services discharged very professionally,quick,Company's service,Positive,,,,,,,,,,,,,,,
Worst service ever. Irresponsible beautician who is not even bothered to inform that she is not going to come and when reached out to customer service they are unresponsive as well worst experience ever.,worst,Company's service,Negative,irresponsible,Service person's attitude,Negative,unresponsive,Customer support,negative,,,,,,,,,
great service,great,Company's service,Positive,,,,,,,,,,,,,,,
Very professional and through work. Understand the customer needs perfectly and taylormade solutions to all domestic tasks.,very professional,Company's service,Positive,,,,,,,,,,,,,,,
I have ac issue but urban clap company is not yet solved my issue i spend rs 5800 waste of time he dont have skilled technical person totally waste of time and money,waste of time,Company's service,Negative,,,,,,,,,,,,,,,
it's good service by uc technician,good ,Company's service,Positive,,,,,,,,,,,,,,,
"The most fraudulent company I have ever seen. Don't be in trap of these cheaters , they will take your money and your problem will still be un resolved. Boycott urban company. I have already spent my 3.5 K in AC and now these people have made my compressor leaked and now asking 50% of the total cost from me. They sent 4 technicians but the problem is still un-resolved. Their technicians have damaged my blower as well. Pathetic people, pathetic service and pathetic customer care.",pathetic,Company's service,Negative,pathetic,Customer support,Negative,,,,,,,,,,,,
Exceptional service 2 Good,exceptional,Company's service,Positive,,,,,,,,,,,,,,,
I really appreciate their work and polite nature.,appreciate,Company's service,Positive,polite,Service person's attitude,Positive,,,,,,,,,,,,
Terrible service,terrible,Company's service,Negative,,,,,,,,,,,,,,,
"My jobs had been completed by UC okay before, but the painting I requested was pathetic, I paid 30K and it was a total waste of money this time without proper cleaning",pathetic,Company's service,Negative,,,,,,,,,,,,,,,
Very happy with m all the services I have availed Recommend to many friends and family,happy,Company's service,Positive,,,,,,,,,,,,,,,
Just loved it .thank you UC....its very helpful ðŸ‘,helpful,Company's service,Positive,,,,,,,,,,,,,,,
very neat and good work,neat,Company's service,Positive,,,,,,,,,,,,,,,
excellent work by hitesh panchal,excellent work,Company's service,Positive,,,,,,,,,,,,,,,
"It was very bad experience with Urban company. I have booked both the service for Microwave & Washing machine, minor issues, i paid 190 +190 , Booked the service, after service when service people closed the case again i have to paid for Microwave_89rs & washingmachine_139. So why are you not telling the price from the begining so that customer will not confuse. So i will never booked the service again. Showing one price after service more price have to be paid.",bad experience ,Company's service,Negative,,,,,,,,,,,,,,,
good job. completely satisfied,satisfied,Company's service,Positive,,,,,,,,,,,,,,,
Very helpful services offered by Urban company. Especially during COVID times,helpful,Company's service,Positive,,,,,,,,,,,,,,,
Lack of coordination between their Surveyor and Supervisor.,lack of coordination,Company's service,Negative,,,,,,,,,,,,,,,
Nice service,nice,Company's service,Positive,,,,,,,,,,,,,,,
Worst service with familiar name..,worst,Company's service,Negative,,,,,,,,,,,,,,,
service is good. But I think he had to be with more patience,good,Company's service,Positive,,,,,,,,,,,,,,,
urban clap very good service,good,Company's service,Positive,,,,,,,,,,,,,,,
service guy was professional and fixed the issue quickly.,professional,Company's service,Positive,,,,,,,,,,,,,,,
I have booked a revisit for AC Service on 26th and it was scheduled for 27th sep but nobody has still visited and today is 29th sep. I have mailed the same but no response has been given from your end.This is really unprofessional. I have already paid rs3000 with 90 days validity but noone has shown concern for the revisit.,unprofessional,Company's service,Negative,no response,Service schedule,Negative,,,,,,,,,,,,
"very good ,i want it again",good,Company's service,Positive,,,,,,,,,,,,,,,
"I like your professional service but your online service is abysmal. There is no way to contact the company incase of a query in case of doubts in service we are to book and ""help center "" offers little to no help. 3 star is only for their professional safety guidelines but if this post was only about their app then it would 0 or minus",professional,Company's service,Positive,abysmal,App functionality,Negative,,,,,,,,,,,,
The service is really good.. thank-you,good,Company's service,Positive,,,,,,,,,,,,,,,
Absolutely Terrible Service. Don't use netbanking with them. After your service is done they will show more amount as 'pending' and never tell you why. Customer service is useless and you will have to pay additionally. Your local service will be much better than this.,Terrible ,Company's service,Negative,useless,Customer support,Negative,pay additionally,Payment,negative,,,,,,,,,
Services fall apart right after the warranty period. If you are booking a service with them then expect your service to last as long as the days of warranty and then pay them over and over again. Something about this doesn't seem right. Customer service is of no help and if a problem arises then you can count on it never being resolved. Throwing your money in the trash is a better option than urban company,fall apart ,Company's service,Negative,no help,Customer support,Negative,,,,,,,,,,,,
"I think a bunch of unprofessional diiiiiiccccckkkk headed people have opened this company therefore, their technicians are exactly like them. Never on time. Never recieve calls. Never give clear cut answers. Bunch of m***erf**kerz.",unprofessional,Company's service,Negative,,,,,,,,,,,,,,,
The job was carried out effectively,effectively,Company's service,Positive,,,,,,,,,,,,,,,
"Very good service and very good behavior, very polite person pooja ji, good work.",good,Company's service,Positive,polite,Service person's attitude,Positive,,,,,,,,,,,,
very professional service ðŸ‘,professional,Company's service,Positive,,,,,,,,,,,,,,,
